Recipient Org:Identifier,Funding Org:Identifier,Amount Awarded,Grants
GB-CHC-1055254,GB-CHC-1105580,80000.0,1
GB-CHC-1055254,GB-CHC-205629,38000.0,1
GB-CHC-1055254,GB-CHC-210037,59950.0,1
GB-CHC-1055914,360G-blf,9950.0,1
GB-CHC-1055914,GB-CHC-1151621,1250.0,1
GB-CHC-1055914,GB-LAE-OXO,15000.0,1
GB-CHC-1056043,360G-blf,21480.0,1
GB-CHC-1056043,GB-CHC-205629,150000.0,1
GB-CHC-1056043,GB-CHC-210037,110000.0,1
GB-CHC-1056441,360G-blf,9950.0,1
GB-CHC-1056441,GB-CHC-230260,10000.0,1
GB-CHC-1056441,GB-CHC-327114,15000.0,1
GB-CHC-1056441,GB-COH-IP00525R,1084.78,1
GB-CHC-1059029,360G-blf,2818.0,1
GB-CHC-1059029,GB-CHC-1081124,30000.0,1
GB-CHC-1059029,GB-CHC-230260,20000.0,1
GB-CHC-1059144,360G-blf,6240.0,1
GB-CHC-1059144,GB-CHC-230260,7500.0,1
GB-CHC-1059144,GB-COH-IP00525R,2005.81,1
GB-CHC-1060002,360G-blf,9939.0,1
GB-CHC-1060002,GB-CHC-230260,10000.0,1
GB-CHC-1060002,GB-CHC-327114,103385.0,1
GB-CHC-1060714,GB-CHC-1164703,5000.0,1
GB-CHC-1060714,GB-CHC-200051,200000.0,1
GB-CHC-1060714,GB-CHC-230260,30000.0,1
GB-CHC-1061182,360G-blf,9200.0,1
GB-CHC-1061182,GB-CHC-1000147,15000.0,1
GB-CHC-1061182,GB-CHC-1035628,132900.0,1
GB-CHC-1062493,360G-blf,493287.0,1
GB-CHC-1062493,GB-CHC-1080418,2200.0,1
GB-CHC-1062493,GB-COH-IP00525R,5429.45,2
GB-CHC-1062887,360G-blf,9992.0,1
GB-CHC-1062887,GB-CHC-1105580,50000.0,1
GB-CHC-1062887,GB-COH-IP00525R,2875.0699999999997,2
GB-CHC-1063643,GB-CHC-1052061,10075.0,2
GB-CHC-1063643,GB-CHC-1080418,6260.0,1
GB-CHC-1063643,GB-COH-IP00525R,2862.23,1
GB-CHC-1064046,360G-blf,109907.0,2
GB-CHC-1064046,GB-CHC-327114,98692.0,1
GB-CHC-1064046,GB-COH-IP00525R,2130.18,1
GB-CHC-1064270,360G-blf,9910.0,1
GB-CHC-1064270,GB-CHC-274100,50000.0,1
GB-CHC-1064270,GB-CHC-327114,75000.0,1
GB-CHC-1065066,GB-CHC-1000147,15000.0,1
GB-CHC-1065066,GB-CHC-1115476,60000.0,1
GB-CHC-1065066,GB-CHC-210037,112500.0,1
GB-CHC-1065770,360G-blf,224960.0,1
GB-CHC-1065770,GB-CHC-205629,57250.0,2
GB-CHC-1065770,GB-CHC-327114,15000.0,1
GB-CHC-1065963,GB-CHC-1035628,59500.0,1
GB-CHC-1065963,GB-CHC-1140372,25000.0,1
GB-CHC-1065963,GB-CHC-230260,40000.0,1
GB-CHC-1066911,360G-blf,409682.0,1
GB-CHC-1066911,GB-CHC-230102,77300.0,1
GB-CHC-1066911,GB-CHC-230260,20000.0,1
GB-CHC-1066911,GB-COH-IP00525R,3916.7,1
GB-CHC-1069535,GB-CHC-1089893,5000.0,1
GB-CHC-1069535,GB-CHC-230260,5000.0,1
GB-CHC-1069535,GB-COH-IP00525R,1559.97,1
GB-CHC-1069637,GB-CHC-1105580,40000.0,1
GB-CHC-1069637,GB-CHC-230260,10000.0,1
GB-CHC-1069637,GB-CHC-327114,58840.0,1
GB-CHC-1069765,360G-blf,9920.0,1
GB-CHC-1069765,GB-CHC-1052061,14000.0,3
GB-CHC-1069765,GB-CHC-230260,5000.0,1
GB-CHC-1070578,360G-blf,6720.0,1
GB-CHC-1070578,GB-CHC-230260,25000.0,1
GB-CHC-1070578,GB-CHC-274100,20000.0,1
GB-CHC-1070578,GB-COH-02273708,17417.0,3
GB-CHC-1071418,360G-blf,9727.0,1
GB-CHC-1071418,GB-CHC-299963,500.0,1
GB-CHC-1071418,GB-COH-02273708,1145.0,1
GB-CHC-1072111,GB-CHC-1105580,70000.0,1
GB-CHC-1072111,GB-CHC-210037,50000.0,1
GB-CHC-1072111,GB-CHC-327114,79241.0,1
GB-CHC-1072376,GB-CHC-1081124,50000.0,1
GB-CHC-1072376,GB-CHC-200051,188845.0,1
GB-CHC-1072376,GB-CHC-230260,100000.0,1
GB-CHC-1072376,GB-CHC-274100,20000.0,1
GB-CHC-1072841,360G-blf,2950.0,1
GB-CHC-1072841,GB-CHC-205629,73000.0,1
GB-CHC-1072841,GB-COH-IP00525R,3592.13,1
GB-CHC-1073247,360G-blf,10000.0,1
GB-CHC-1073247,GB-CHC-1151621,5000.0,1
GB-CHC-1073247,GB-LAE-OXO,250.0,1
GB-CHC-1075447,GB-CHC-230260,20000.0,1
GB-CHC-1075447,GB-CHC-274100,15000.0,1
GB-CHC-1075447,GB-COH-IP00525R,2930.18,2
GB-CHC-1076055,360G-blf,8808.0,1
